,config.variables.CHANNEL_24,country,config.variables.SHUTDOWN_24,description,msn,type,config.variables.CHANNEL_5,mac,network,config.variables.VLAN_1_IP,config.variables.POWER_5,status_time,config.variables.VLAN_1_PREFIX6,config.variables.DISPLAY_NAME,tower,config.variables.VLAN_1_IP6,product,managed_account,location.type,ap_group,ip,config.variables.DEFAULT_GW6,config.variables.VLAN_1_MASK,config.variables.POWER_24,config.variables.VLAN_1_MODE6,config.variables.LOCATION,config.version,config.variables.VLAN_1_MODE,site,registration_date,@timestamp,config.variables.DNS_SERVER6_2,config.variables.DNS_SERVER_2,config.variables.DNS_SERVER6_1,config.variables.DNS_SERVER_1,name,site_id,location.coordinates,config.variables.SHUTDOWN_5,config.variables.DEFAULT_GW,status
0,,CO,,,W8WJ037WHH74,wifi-enterprise,,BC:E6:7C:5E:66:88,SANTANDER,,,746568.0,,,,,cnPilot e410,,Point,INDOOR-44745-ZGYO227,172.28.118.179,,,,,,,,44745-ZGYO227 BARICHARA VEREDA PARAMITO,2021-04-07 19:13:54,2021-06-21T09:48:13.818332,,,,,44745-ZGYO227-AP-INT,44745-ZGYO227,-73.211114,,,online
1,,CO,,,W8VJ067FJH0D,wifi-enterprise,,58:C1:7A:E9:C9:6F,SANTANDER,,,746569.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.180,,,,,,,,44745-ZGYO227 BARICHARA VEREDA PARAMITO,2021-04-07 19:38:50,2021-06-21T09:48:13.818332,,,,,44745-ZGYO227-AP-EXT2,44745-ZGYO227,6.589215,,,online
2,,CO,,,W8VJ05X88C78,wifi-enterprise,,58:C1:7A:E9:C8:5C,SANTANDER,,,549530.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.181,,,,,,,,44745-ZGYO227 BARICHARA VEREDA PARAMITO,2021-04-08 10:50:15,2021-06-21T09:48:13.818332,,,,,44745-ZGYO227-AP-EXT1,44745-ZGYO227,-73.211114,,,online
3,,CO,,44747-ZGYO413-AP-INT,W8WK06VL2ZGJ,wifi-enterprise,,BC:E6:7C:ED:F2:4F,SANTANDER,,,746563.0,,,,,cnPilot e410,,Point,INDOOR_44747-ZGYO413,172.28.118.171,,,,,,,,44747-ZGYO413 BARICHARA VEREDA SANTA HELENA BAJO,2021-04-19 10:46:35,2021-06-21T09:48:13.818332,,,,,44747-ZGYO413-AP-INT,44747-ZGYO413,6.589215,,,online
4,,CO,,44747-ZGYO413-AP-EXT2,W8WF00HRR3VK,wifi-enterprise,,BC:E6:7C:4F:07:88,SANTANDER,,,746567.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.172,,,,,,,,44747-ZGYO413 BARICHARA VEREDA SANTA HELENA BAJO,2021-04-19 10:46:34,2021-06-21T09:48:13.818332,,,,,44747-ZGYO413-AP-EXT2,44747-ZGYO413,-73.211114,,,online
5,,CO,,44747-ZGYO413-AP-EXT1,W8WF000T7WP7,wifi-enterprise,,BC:E6:7C:4F:05:C8,SANTANDER,,,746568.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.173,,,,,,,,44747-ZGYO413 BARICHARA VEREDA SANTA HELENA BAJO,2021-04-19 10:46:38,2021-06-21T09:48:13.818332,,,,,44747-ZGYO413-AP-EXT1,44747-ZGYO413,6.589215,,,online
6,,CO,,,W8WK07HDK93D,wifi-enterprise,,BC:E6:7C:EE:2E:47,SANTANDER,,,746565.0,,,,,cnPilot e410,,Point,INDOOR-44738-ZGYO662,172.25.29.131,,,,,,,,44738-ZGYO662 BARICHARA VEREDA SAN JOSE BAJO,2021-04-12 17:57:45,2021-06-21T09:48:13.818332,,,,,44738-ZGYO662-AP-INT,44738-ZGYO662,-73.200782,,,online
7,,CO,,,W8WE060BMFGH,wifi-enterprise,,BC:E6:7C:4E:3D:5F,SANTANDER,,,746570.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.29.132,,,,,,,,44738-ZGYO662 BARICHARA VEREDA SAN JOSE BAJO,2021-04-12 18:00:10,2021-06-21T09:48:13.818332,,,,,44738-ZGYO662-AP-EXT1,44738-ZGYO662,6.634508,,,online
8,,CO,,,W8WE05W20T88,wifi-enterprise,,BC:E6:7C:4E:3C:FD,SANTANDER,,,746570.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.29.133,,,,,,,,44738-ZGYO662 BARICHARA VEREDA SAN JOSE BAJO,2021-04-12 18:00:04,2021-06-21T09:48:13.818332,,,,,44738-ZGYO662-AP-EXT2,44738-ZGYO662,-73.200782,,,online
9,,CO,,OUTDOOR1-VEREDA-CARAQUITAS-10006914,W8WF009P663S,wifi-enterprise,,BC:E6:7C:4F:06:D2,SANTANDER,,,960268.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.189,,,,,,,,44749-ZGYO412 BARICHARA VEREDA CARAQUITAS,2021-04-12 19:14:25,2021-06-21T09:48:13.818332,,,,,44749-ZGYO412-AP-EXT1,44749-ZGYO412,6.634508,,,online
