operador_cod	id_Beneficiario	cod_servicio	LLAVE	nombre_municipio	codDaneMuni	nombre_departamento	codDaneDepar	nombre_centro_pob	codCentroPoblado	codDaneInstitucionEdu	Columna1	nombreInstitucionEd	codDanesede	nombreSede	tipoSitio	tipoSitioDesc	detalleSitio	detalleSitioDesc	energia	energiadesc	region	matricula	longitud	latitud	DDA	grupo	grupoDesc	municipioPDET	estadoInstalacion	IP WAN	IPWLAN	IP PROD_1	IP PROD_2	MAC INDOOR	MAC APOUTDOOR	MAC 2APOUTDOOR	COD_ISO
operinfra_07	22154	ZGYO176	22154-ZGYO176	VALDIVIA	5854	ANTIOQUIA	5	LA PAULINA	333	205854000501	12	C. E. R. LA PAULINA	205854000501	 C.E.R LA PAULINA	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	111	-76,14525469	6,7048548	5	1	OBLIGATORIOS	0	3			10.0.0.0/24	10.100.0.0/24				CO-ANT
operinfra_07	20022	ZGYO177	20022-ZGYO177	FRONTINO	5284	ANTIOQUIA	5	EL CERRO	333	105284000214	12	I. E.  MANUEL ANTONIO TORO	205284000201	CENTRO EDUCATIVO RURAL EL CERRO	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	22	-73,10716667	4,225166667	5	1	OBLIGATORIOS	0	3			10.0.1.0/24	10.100.1.0/24				CO-ANT
operinfra_07	18787		18787-	ANORÍ	5040	ANTIOQUIA	5	VDA. LA MESETA	333	205040000357	12	C. E. R. EL CARMIN	205040000161	C. E. R.  MERCEDES YEPES	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	42	-75,151177190	6,93848274	5	1	OBLIGATORIOS	0	1			10.0.2.0/24	10.100.2.0/24				CO-ANT
operinfra_07	18802		18802-	ANORÍ	5040	ANTIOQUIA	5	VDA EL LIMÓN	333	105040000212	12	I. E. ANORI	205040000616	C. E. R. MEDIAS FALDAS	1	SEDES EDUCATIVAS	8	IE	4	TIENE ENERGÍA	A	84	-75,19442611	7,04797951	5	2	Opción 2	0	1			10.0.3.0/24	10.100.3.0/24				CO-ANT
operinfra_07	18804		18804-	ANORÍ	5040	ANTIOQUIA	5	BELLAVISTA	333	205040000357	12	C. E. R. EL CARMIN	205040000641	C. E. R.  ROSAURA ORTEGA	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	14	-75,22730972	7,06272584	5	1	OBLIGATORIOS	0	1			10.0.4.0/24	10.100.4.0/24				CO-ANT
operinfra_07	18820		18820-	ANORÍ	5040	ANTIOQUIA	5	VDA CHAGUALO ABAJO	333	205040000357	12	C. E. R. EL CARMIN	205040001035	C. E. R. CHAGUALO ABAJO	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	24	-76,006111	6,228333	5	1	OBLIGATORIOS	0	1			10.0.5.0/24	10.100.5.0/24				CO-ANT
operinfra_07	19170		19170-	BETULIA	5093	ANTIOQUIA	5	VDA CUCHUCO	333	205093000171	12	C. E. R. LA GUAMALA	205093000308	C. E. R. EL CUCHUCO	1	SEDES EDUCATIVAS	8	IE	4	TIENE ENERGÍA	A	75	-75,9849316	6,10852897	5	2	Opción 2	0	1			10.0.6.0/24	10.100.6.0/24				CO-ANT
operinfra_07	19172		19172-	BETULIA	5093	ANTIOQUIA	5	VDA LA CIBELES	333	105093000109	12	I. E. SAN JOSE	205093000324	C. E. R. LA CIBELES	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	52	-75,93353968	6,14615356	5	1	OBLIGATORIOS	0	1			10.0.7.0/24	10.100.7.0/24				CO-ANT
operinfra_07	19176		19176-	BETULIA	5093	ANTIOQUIA	5	VDA LA SUCRE	333	205093000413	12	I. E. R. LA SUCRE	205093000413	I. E. R. LA SUCRE	1	SEDES EDUCATIVAS	8	IE	4	TIENE ENERGÍA	A	123	-75,93583333	6,1175	5	2	Opción 2	0	1			10.0.8.0/24	10.100.8.0/24				CO-ANT
operinfra_07	19179		19179-	BETULIA	5093	ANTIOQUIA	5	VDA. SANTA RITA	333	105093000109	12	I. E. SAN JOSE	205093000529	C. E. R. SANTA RITA	1	SEDES EDUCATIVAS	8	IE	1	RED INTERCONECTADA	A	46	-76,03442515	6,23676381	5	1	OBLIGATORIOS	0	1			10.0.9.0/24	10.100.9.0/24				CO-ANT
