id_Beneficiario	Codigo Servicio	LLAVE	RED INDOOR	Mask ether3	IP OUTDOOR1	IP OUTDOOR2	Mask ether4-5
19729		19729-	10.0.112.0	255.255.255.0	10.100.112.1	10.100.112.2	255.255.255.0
47919		47919-	10.27.150.0	255.255.255.0	10.127.150.1	10.127.150.2	255.255.255.0
21755		21755-	10.3.40.0	255.255.255.0	10.103.40.1	10.103.40.2	255.255.255.0
21758		21758-	10.3.41.0	255.255.255.0	10.103.41.1	10.103.41.2	255.255.255.0
21237		21237-	10.2.203.0	255.255.255.0	10.102.203.1	10.102.203.2	255.255.255.0
20157		20157-	10.2.7.0	255.255.255.0	10.102.7.1	10.102.7.2	255.255.255.0
19879		19879-	10.0.158.0	255.255.255.0	10.100.158.1	10.100.158.2	255.255.255.0
19803		19803-	10.1.190.0	255.255.255.0	10.101.190.1	10.101.190.2	255.255.255.0
20217		20217-	10.0.161.0	255.255.255.0	10.100.161.1	10.100.161.2	255.255.255.0
31288		31288-	10.10.114.0	255.255.255.0	10.110.114.1	10.110.114.2	255.255.255.0
32367		32367-	10.11.64.0	255.255.255.0	10.111.64.1	10.111.64.2	255.255.255.0
31132		31132-	10.10.89.0	255.255.255.0	10.110.89.1	10.110.89.2	255.255.255.0
32451		32451-	10.10.170.0	255.255.255.0	10.110.170.1	10.110.170.2	255.255.255.0
31771		31771-	10.11.11.0	255.255.255.0	10.111.11.1	10.111.11.2	255.255.255.0
31950		31950-	10.13.39.0	255.255.255.0	10.113.39.1	10.113.39.2	255.255.255.0
31399		31399-	10.10.66.0	255.255.255.0	10.110.66.1	10.110.66.2	255.255.255.0
32468		32468-	10.12.170.0	255.255.255.0	10.112.170.1	10.112.170.2	255.255.255.0
32507		32507-	10.11.38.0	255.255.255.0	10.111.38.1	10.111.38.2	255.255.255.0
32460		32460-	10.12.167.0	255.255.255.0	10.112.167.1	10.112.167.2	255.255.255.0
32560	ZGYO470	32560-ZGYO470	10.12.198.0	255.255.255.0	10.112.198.1	10.112.198.2	255.255.255.0
39183		39183-	10.19.138.0	255.255.255.0	10.119.138.1	10.119.138.2	255.255.255.0
39179		39179-	10.19.136.0	255.255.255.0	10.119.136.1	10.119.136.2	255.255.255.0
70560		70560-	10.11.70.0	255.255.255.0	10.111.70.1	10.111.70.2	255.255.255.0
41917		41917-	10.20.198.0	255.255.255.0	10.120.198.1	10.120.198.2	255.255.255.0
47448		47448-	10.25.178.0	255.255.255.0	10.125.178.1	10.125.178.2	255.255.255.0
45107		45107-	10.23.147.0	255.255.255.0	10.123.147.1	10.123.147.2	255.255.255.0
45525		45525-	10.23.34.0	255.255.255.0	10.123.34.1	10.123.34.2	255.255.255.0
46431	ZZZY063	46431-ZZZY063	10.24.158.0	255.255.255.0	10.124.158.1	10.124.158.2	255.255.255.0
